food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,suitable_for_disease,food_type
39,"แซนวิช, ปลา",1 ชิ้น / 100 g,ฟาสต์ฟู้ด,294.0,10.5,27.5,0.0,15.8,0.0,โรคเบาหวาน,น้ำตาลต่ำ
40,ฮอทดอก,1 ชิ้น / 50 g,ฟาสต์ฟู้ด,100.0,3.0,13.0,1.0,4.0,400.0,ไม่มีโรค,สมดุล
41,"แฮมเบอร์เกอร์, หมู",1  ชิ้น / 108 g,ฟาสต์ฟู้ด,266.0,13.0,31.0,5.4,10.0,442.0,ไม่มีโรค,สมดุล
42,"แฮมเบอร์เกอร์, ไก่",1  ชิ้น / 90 g,ฟาสต์ฟู้ด,294.0,13.3,23.1,0.0,16.0,515.0,ไม่มีโรค,สมดุล
43,ขนมชั้น,100 g,ขนม,99.0,0.0,19.0,12.0,2.1,29.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
44,"ขนมปัง, หน้าเนย",100 g,ขนม,310.0,7.0,30.0,2.0,18.0,420.0,ไม่มีโรค,สมดุล
45,ข้าวต้มมัด,100 g,ขนม,183.0,2.5,38.0,15.0,2.3,220.0,โรคหัวใจ,ไขมันต่ำ
46,ครัวซอง,100 g,ขนม,273.0,5.5,31.0,7.5,14.0,313.0,ไม่มีโรค,สมดุล
47,ทองหยอด ,100 g,ขนม,305.0,3.5,56.9,56.6,6.9,39.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
48,ทองหยิบ,100 g,ขนม,395.0,7.9,45.9,54.2,19.7,0.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
49,ฝอยทอง,100 g,ขนม,419.0,12.7,40.7,41.9,22.5,64.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
50,ลอดช่องไทย น้ำกะทิ,100 g,ขนม,108.0,0.7,18.7,12.3,3.0,62.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
51,ขนมเปียกปูน,100 g,ขนม,160.0,1.1,35.5,19.8,1.6,92.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
52,ถั่วเขียวต้มน้ำตาล,100 g,ขนม,213.0,7.0,46.2,29.0,0.4,8.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
53,เต้าทึงน้ำลำใย,100 g,ขนม,130.0,4.5,31.5,21.0,0.5,14.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
54,ธัญพืชอบกรอบ,100 g,ขนม,136.0,5.0,20.0,5.0,4.0,120.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
55,คุ๊กกี้ธัญพืช,100 g,ขนม,501.0,6.0,65.0,15.0,24.0,524.0,โรคหัวใจ,ไขมันต่ำ
56,ขนมทองม้วน,100 g,ขนม,135.0,2.0,25.0,13.0,3.0,164.0,โรคหัวใจ,ไขมันต่ำ
57,ขนมเบื้องไส้หวาน,100 g,ขนม,415.0,14.4,82.4,8.4,1.9,59.2,โรคหัวใจ,ไขมันต่ำ
58,ขนมปังไส้สับปะรด,100 g,ขนม,131.0,2.0,24.0,15.0,3.0,80.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
59,"วุ้นกะทิ, ใบเตย",100 g,ขนม,133.0,0.6,20.5,9.3,7.8,0.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
60,ข้าวเหนียวหน้าสังขยา,100 g,ขนม,199.0,8.4,26.2,4.7,6.3,77.2,ไม่มีโรค,สมดุล
61,"โดนัท, โรยน้ำตาล",100 g,ขนม,443.0,6.0,59.5,30.4,20.2,370.0,ไม่มีโรค,สมดุล
62,กระเพาะปลา,1 ถ้วย / 250 g,อาหารจานหลัก,240.0,8.0,49.0,2.0,15.0,1230.0,ไม่มีโรค,สมดุล
63,"กระเพาะปลา, เส้นหมี่",1 ถ้วย / 250 g,อาหารจานหลัก,220.0,7.0,45.0,0.0,2.0,1150.0,โรคหัวใจ,ไขมันต่ำ
64,ก๋วยจั๊บณวน,1 ชาม / 250 g,อาหารจานหลัก,240.0,5.0,46.0,4.0,4.0,1550.0,โรคหัวใจ,ไขมันต่ำ
65,ก๋วยเตี๋ยวคั่วไก่,1 ชาม / 250 g,อาหารจานหลัก,429.0,21.0,5.0,0.0,33.0,941.0,ไม่มีโรค,สมดุล
66,ก๋วยเตี๋ยวต้มยำหมู,1 ชาม / 250 g,อาหารจานหลัก,506.0,23.0,54.0,0.0,22.0,2507.0,ไม่มีโรค,สมดุล
67,ก๋วยเตี๋ยววุ้นเส้น เย็นตาโฟ,1 ชาม / 250 g,อาหารจานหลัก,210.0,5.6,31.7,0.0,6.8,1362.5,ไม่มีโรค,สมดุล
68,ก๋วยเตี๋ยวเส้นบะหมี่หมูแดง น้ำ,1 ชาม / 250 g,อาหารจานหลัก,170.0,9.0,21.3,0.0,5.5,990.0,ไม่มีโรค,สมดุล
69,ก๋วยเตี๋ยวเส้นเล็ก หมู น้ำตก,1 ชาม / 250 g,อาหารจานหลัก,202.0,11.5,29.1,0.0,4.5,1157.5,ไม่มีโรค,สมดุล
70,ก๋วยเตี๋ยวหลอด,1 จาน / 300 g,อาหารจานหลัก,225.0,8.0,30.0,0.0,10.0,500.0,โรคเบาหวาน,น้ำตาลต่ำ
71,เกาเหลาหมูตุ๋น,1 ชาม / 300 g,อาหารจานหลัก,372.0,21.0,18.0,14.0,24.0,299.0,ไม่มีโรค,สมดุล
72,เกาเหลาลูกชิ้น,1 ชาม / 300 g,อาหารจานหลัก,200.0,12.0,1.0,0.0,17.0,675.0,โรคเบาหวาน,น้ำตาลต่ำ
73,เกี๊ยวน้ำหมู,1 ถ้วย / 300 g,อาหารจานหลัก,140.0,7.0,15.0,3.0,6.0,930.0,โรคหัวใจ,ไขมันต่ำ
74,"ขนมจีน, แกงเขียวหวานไก่",1 ชาม / 300 g,อาหารจานหลัก,355.0,13.0,7.0,0.0,30.0,1768.0,ไม่มีโรค,สมดุล
75,ข้าวกล้องราดแกงคั่วสับปะรด,1 ชาม / 300 g,อาหารจานหลัก,393.0,10.0,63.0,0.0,11.0,0.0,ไม่มีโรค,สมดุล
76,ราดหน้าหมู,1 ชาม / 300 g,อาหารจานหลัก,420.0,13.0,63.0,15.0,13.0,1470.0,ไม่มีโรค,สมดุล
77,ข้าวขาหมู,1 จาน / 300 g,อาหารจานหลัก,470.0,21.0,75.0,0.0,9.0,1210.0,ไม่มีโรค,สมดุล
78,ข้าวคลุกกะปิ,1 จาน / 300 g,อาหารจานหลัก,540.0,16.0,70.0,9.0,22.0,910.0,ไม่มีโรค,สมดุล
79,ข้าวผัดหมู,1 จาน / 300 g,อาหารจานหลัก,410.0,13.0,59.0,4.0,14.0,710.0,ไม่มีโรค,สมดุล
80,ข้าวมันไก่,1 จาน / 300 g,อาหารจานหลัก,563.0,34.0,71.0,6.0,15.0,2066.0,ไม่มีโรค,สมดุล
81,ข้าวราดแกงขี้เหล็ก,1 จาน / 300 g,อาหารจานหลัก,352.0,12.0,53.0,0.0,10.0,1547.0,ไม่มีโรค,สมดุล
82,ข้าวราดแกงเขียวหวานไก่,1 จาน / 300 g,อาหารจานหลัก,340.0,14.0,63.0,2.0,4.0,550.0,ไม่มีโรค,สมดุล
83,ข้าวราดแกงคั่วกลิ้งหมู,1 จาน / 300 g,อาหารจานหลัก,345.0,50.0,5.0,0.0,13.0,335.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
84,ข้าวราดแกงไตปลา,1 จาน / 300 g,อาหารจานหลัก,428.0,38.0,8.0,0.0,3.0,576.0,โรคเบาหวาน,น้ำตาลต่ำ
85,ข้าวราดแกงเทโพหมูสามชั้น,1 จาน / 300 g,อาหารจานหลัก,298.0,7.0,50.0,0.0,8.0,347.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
86,ข้าวราดแกงพะแนงหมู,1 จาน / 300 g,อาหารจานหลัก,520.0,17.0,2.0,0.0,49.0,418.0,โรคเบาหวาน,น้ำตาลต่ำ
87,ข้าวราดแกงมัสมั่นไก่,1 จาน / 300 g,อาหารจานหลัก,637.0,24.0,5.0,0.0,59.0,481.0,โรคเบาหวาน,น้ำตาลต่ำ
88,ข้าวราดแกงส้มชะอมทอด,1 จาน / 300 g,อาหารจานหลัก,397.0,14.0,57.0,0.0,13.0,386.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
89,ข้าวราดแกงส้มผักรวม,1 จาน / 300 g,อาหารจานหลัก,336.0,58.0,12.0,4.0,4.0,410.0,โรคเบาหวาน,น้ำตาลต่ำ
90,ข้าวราดไข่เจียวหมูสับ,1 จาน / 300 g,อาหารจานหลัก,518.0,14.0,67.0,0.0,21.0,364.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
91,ข้าวราดต้มจืดเต้าหู้ หมูสับราดข้าว,1 จาน / 300 g,อาหารจานหลัก,263.0,21.0,25.0,0.0,9.0,271.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
92,ข้าวราดต้มพะโล้,1 จาน / 300 g,อาหารจานหลัก,535.0,25.0,66.0,0.0,19.0,376.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
93,ข้าวราดทอดมันปลากราย,1 จาน / 300 g,อาหารจานหลัก,618.0,23.0,69.0,0.0,28.0,392.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
94,ข้าวราดผัดกระเพราไก่,1 จาน / 300 g,อาหารจานหลัก,430.0,17.0,77.0,8.0,6.0,620.0,ไม่มีโรค,สมดุล
95,ข้าวราดผัดคะน้าหมูกรอบ,1 จาน / 300 g,อาหารจานหลัก,550.0,11.0,96.0,6.0,13.0,890.0,ไม่มีโรค,สมดุล
96,ข้าวราดผัดคะน้าหมูชิ้น,1 จาน / 300 g,อาหารจานหลัก,501.0,11.0,60.9,6.0,7.5,882.0,ไม่มีโรค,สมดุล
97,ข้าวราดไก่กระเทียม,1 จาน / 300 g,อาหารจานหลัก,520.0,60.0,140.0,2.0,5.0,760.0,ไม่มีโรค,สมดุล
98,ข้าวราดผัดเต้าหู้ไข่ทรงเครื่อง,1 จาน / 300 g,อาหารจานหลัก,350.0,25.0,13.0,0.0,26.0,1839.0,ไม่มีโรค,สมดุล
99,ข้าวราดผัดผักรวม,1 จาน / 300 g,อาหารจานหลัก,332.0,9.0,61.0,0.0,6.0,446.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
100,ข้าวราดผัดเผ็ดหน่อไม้ไก่,1 จาน / 300 g,อาหารจานหลัก,320.0,10.0,60.0,3.0,4.0,690.0,ไม่มีโรค,สมดุล
101,ข้าวราดผัดเผ็ดหอยแมลงภู่,1 จาน / 300 g,อาหารจานหลัก,424.0,18.0,64.0,0.0,11.0,417.0,ไม่มีโรค,สมดุล
102,ข้าวราดผัดเผ็ดหอยลาย,1 จาน / 300 g,อาหารจานหลัก,307.0,6.0,48.0,0.0,10.0,392.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
103,ข้าวราดผัดมะเขือยาวกับหมูสับ,1 จาน / 300 g,อาหารจานหลัก,315.0,12.0,23.0,9.0,20.0,900.0,ไม่มีโรค,สมดุล
104,ข้าวราดผัดมะระกับไข่,1 จาน / 300 g,อาหารจานหลัก,341.0,12.0,45.0,6.0,28.0,549.0,ไม่มีโรค,สมดุล
105,ข้าวราดยำไข่ดาว,1 จาน / 300 g,อาหารจานหลัก,336.0,20.0,75.0,0.0,29.0,468.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
106,ข้าวราดยำหมูยอ,1 จาน / 300 g,อาหารจานหลัก,456.0,14.0,28.0,0.0,19.0,503.0,ไม่มีโรค,สมดุล
107,ข้าวราดหมูทอดกระเทียม,1 จาน / 300 g,อาหารจานหลัก,530.0,26.0,78.0,8.0,13.0,620.0,ไม่มีโรค,สมดุล
108,ข้าวหมกไก่,1 จาน / 300 g,อาหารจานหลัก,560.0,18.0,84.0,17.0,17.0,1850.0,ไม่มีโรค,สมดุล
109,ข้าวหมูแดง,1 จาน / 300 g,อาหารจานหลัก,560.0,20.0,96.0,16.0,11.0,1200.0,ไม่มีโรค,สมดุล
110,ข้าวหมูอบ,1 จาน / 300 g,อาหารจานหลัก,443.0,37.0,48.0,3.0,11.0,849.0,ไม่มีโรค,สมดุล
111,"สุกี้, ไก่, น้ำ",1 ชาม  / 300 g,อาหารจานหลัก,253.0,20.0,30.0,0.0,6.0,536.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
112,"สุกี้, รวมมิตร, น้ำ",1 ชาม  / 300 g,อาหารจานหลัก,207.0,21.0,18.0,0.0,6.0,471.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
113,"สุกี้, ทะเล, น้ำ",1 ชาม  / 300 g,อาหารจานหลัก,216.0,25.0,4.0,0.0,9.0,424.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
114,หอยทอด,1 จาน / 300 g,อาหารจานหลัก,625.0,19.0,35.0,0.0,46.0,1190.0,ไม่มีโรค,สมดุล
115,ข้าวลาบหมู,1 จาน / 300 g,อาหารจานหลัก,380.0,23.0,61.0,2.0,5.0,820.0,ไม่มีโรค,สมดุล
116,ข้าวต้มกุ้ง,1 ชาม  / 300 g,อาหารจานหลัก,203.0,26.1,22.7,0.0,0.5,111.8,โรคหัวใจ,ไขมันต่ำ
117,ข้าวต้มหมู,1 ชาม  / 300 g,อาหารจานหลัก,200.0,9.0,36.0,1.0,2.0,740.0,โรคหัวใจ,ไขมันต่ำ
118,ข้าวต้มปลา,1 ชาม  / 300 g,อาหารจานหลัก,220.0,21.0,28.2,0.1,1.6,73.0,โรคหัวใจ,ไขมันต่ำ
119,โจ๊กหมู,1 ชาม  / 300 g,อาหารจานหลัก,157.0,8.0,20.0,0.0,5.0,730.0,ไม่มีโรค,สมดุล
120,โจ๊กไข่,1 ชาม  / 300 g,อาหารจานหลัก,210.0,4.0,24.0,2.0,5.0,910.0,ไม่มีโรค,สมดุล
121,แกงส้มผักรวมปลา,300 g,อาหารจานหลัก,111.0,11.6,13.8,8.7,1.1,1255.0,โรคเบาหวาน,น้ำตาลต่ำ
122,ผัดผักคะน้าใส่หมู,300 g,อาหารจานหลัก,316.0,21.3,12.6,0.0,20.3,1294.0,โรคเบาหวาน,น้ำตาลต่ำ
123,สลัดผักรวม,300 g,อาหารจานหลัก,139.0,5.0,16.7,1.7,5.8,96.0,โรคเบาหวาน,น้ำตาลต่ำ
124,ผัดผักรวมมิตรกับเต้าหู้,300 g,อาหารจานหลัก,328.0,8.2,26.3,17.0,21.3,758.0,โรคเบาหวาน,น้ำตาลต่ำ
125,แกงจืดเต้าหู้หมูสับใส่ผัก,300 g,อาหารจานหลัก,209.0,21.4,4.0,0.0,12.0,576.0,โรคเบาหวาน,น้ำตาลต่ำ
126,ปลานึ่งมะนาว,300 g,อาหารจานหลัก,249.0,23.7,28.1,14.7,5.0,1486.0,โรคเบาหวาน,น้ำตาลต่ำ
127,แกงป่าไก่,300 g,อาหารจานหลัก,252.0,15.3,16.4,0.6,13.9,1124.0,โรคเบาหวาน,น้ำตาลต่ำ
128,แกงเลียงผักรวม,300 g,อาหารจานหลัก,135.0,14.3,16.0,2.0,1.1,1175.0,โรคเบาหวาน,น้ำตาลต่ำ
129,แกงคั่วหมูเทโพ,300 g,อาหารจานหลัก,462.0,25.7,31.7,0.8,26.8,2259.0,โรคเบาหวาน,น้ำตาลต่ำ
130,ต้มจับฉ่าย,300 g,อาหารจานหลัก,231.0,12.0,15.0,0.0,13.5,914.0,โรคเบาหวาน,น้ำตาลต่ำ
131,แซลมอนลุยสวน,300 g,อาหารจานหลัก,371.0,27.8,19.9,9.8,20.0,1468.0,โรคหัวใจ,ไขมันต่ำ
132,น้ำพริกปลาทู,150 g,อาหารจานหลัก,77.0,8.5,8.9,3.0,1.1,1419.0,โรคหัวใจ,ไขมันต่ำ
133,ปลากะพงผัดขึ้นฉ่าย,300 g,อาหารจานหลัก,157.0,21.0,9.0,1.8,3.5,604.0,โรคหัวใจ,ไขมันต่ำ
134,ข้าวผัดปลาแซลมอน,300 g,อาหารจานหลัก,527.0,44.0,4.9,2.6,42.4,689.0,โรคหัวใจ,ไขมันต่ำ
135,ข้าวผัดน้ําพริกตาแดง,300 g,อาหารจานหลัก,588.0,24.4,47.9,4.7,33.7,460.0,โรคหัวใจ,ไขมันต่ำ
136,ห่อหมกปลาดอรี่,300 g,อาหารจานหลัก,508.0,38.3,19.4,6.9,31.7,933.0,โรคหัวใจ,ไขมันต่ำ
137,น้ำพริกอ่อง,100 g,อาหารจานหลัก,346.0,34.4,34.9,9.5,10.2,3030.0,โรคหัวใจ,ไขมันต่ำ
138,ปลาผัดพริกสด,300 g,อาหารจานหลัก,439.0,17.0,68.0,2.0,11.0,720.0,โรคหัวใจ,ไขมันต่ำ
139,ต้มยำปลานิล,300 g,อาหารจานหลัก,290.0,25.0,45.0,3.2,2.8,3819.0,โรคหัวใจ,ไขมันต่ำ
140,กุ้งทอดกระเทียม,300 g,อาหารจานหลัก,540.0,34.2,60.2,0.2,16.4,423.7,โรคหัวใจ,ไขมันต่ำ
141,เห็ดรวมผัดน้ำมันหอย,300 g,อาหารจานหลัก,82.0,3.5,8.1,1.1,4.9,430.0,โรคหัวใจ,ไขมันต่ำ
142,ฟักทองผัดไข่ขาว,300 g,อาหารจานหลัก,243.0,14.3,9.4,4.5,16.3,826.0,โรคหัวใจ,ไขมันต่ำ
143,สลัดอกไก่ต้ม,300 g,อาหารจานหลัก,165.0,20.0,10.0,0.0,5.0,121.0,โรคหัวใจ,ไขมันต่ำ
144,ปลานิลนึ่งตะไคร้,300 g,อาหารจานหลัก,384.0,42.0,12.7,0.0,7.0,211.0,โรคหัวใจ,ไขมันต่ำ
145,กุ้งอบวุ้นเส้น,300 g,อาหารจานหลัก,591.0,33.1,113.0,9.5,0.4,385.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
146,ไก่อบสมุนไพร,300 g,อาหารจานหลัก,178.0,23.3,0.0,0.0,8.8,95.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
147,ข้าวอบธัญพืช,300 g,อาหารจานหลัก,240.0,12.0,42.0,1.0,3.0,450.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
148,ปลานึ่งขิง,300 g,อาหารจานหลัก,201.0,48.0,0.0,0.0,1.0,350.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
149,ต้มยำเห็ดรวมน้ำใส,300 g,อาหารจานหลัก,48.0,3.3,7.4,2.0,0.6,339.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
150,แกงเหลืองปลา,300 g,อาหารจานหลัก,41.0,7.9,1.3,0.0,0.1,674.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
151,ชาเขียวนมสด,1 แก้ว / 350 ml,เครื่องดื่ม,244.0,2.9,39.7,32.1,8.3,0.0,ไม่มีโรค,สมดุล
152,ชาเย็น,1 แก้ว / 350 ml,เครื่องดื่ม,215.0,2.7,34.7,26.6,7.3,0.0,ไม่มีโรค,สมดุล
153,ชามะนาว,1 แก้ว / 350 ml,เครื่องดื่ม,180.0,0.0,45.0,22.0,0.0,0.4,โรคเบาหวาน,น้ำตาลต่ำ
154,นมเปรี้ยว บีทาเก้นไลท์,300 ml,เครื่องดื่ม,180.0,6.0,39.0,21.0,0.0,0.0,โรคเบาหวาน,น้ำตาลต่ำ
155,นม ยูเอชที รสจืด,1 กล่อง / 180 ml,เครื่องดื่ม,110.0,4.0,12.0,11.0,6.0,0.3,โรคความดันโลหิตสูง,โซเดียมต่ำ
156,นมสดหนองโพ รสหวาน,1 กล่อง / 225 ml,เครื่องดื่ม,180.0,7.0,20.0,20.0,8.0,0.2,โรคความดันโลหิตสูง,โซเดียมต่ำ
157,นมรสกาแฟลาเต้ - เมจิ,1 กล่อง / 200 ml,เครื่องดื่ม,90.0,5.0,11.0,10.0,2.5,0.3,โรคหัวใจ,ไขมันต่ำ
158,ดัชมิลล์นมเปรี้ยวรสธรรมชาติ,1 กล่อง / 200 ml,เครื่องดื่ม,120.0,4.0,26.0,24.0,0.0,0.2,โรคเบาหวาน,น้ำตาลต่ำ
159,โยเกิร์ตรสธรรมชาติ - ดัชชี่,1 ถ้วย / 135 g,เครื่องดื่ม,120.0,3.7,14.1,10.4,3.5,0.2,ไม่มีโรค,สมดุล
160,โยเกิร์ตรสผลไม้รวม - ดัชชี่,1 ถ้วย / 135 g,เครื่องดื่ม,140.0,4.0,25.0,21.0,3.0,0.2,โรคหัวใจ,ไขมันต่ำ
161,"ขนมถ้วย, ใบเตย",100 g,ขนม,155.0,1.4,30.8,14.0,3.0,263.0,โรคหัวใจ,ไขมันต่ำ
162,ข้าวเหนียวมูล ,100 g,ขนม,281.0,3.1,52.2,8.1,6.3,342.0,ไม่มีโรค,สมดุล
163,เอแคลร์ ครีมนมสด,90 g,ขนม,170.0,0.0,20.0,9.0,9.0,0.4,ไม่มีโรค,สมดุล
164,ขนมกล้วย,100 g,ขนม,181.0,1.3,37.9,26.3,2.7,263.0,โรคหัวใจ,ไขมันต่ำ
165,"กล้วยไข่, เชื่อม ",100 g,ขนม,237.0,1.2,53.3,8.4,1.8,0.6,โรคหัวใจ,ไขมันต่ำ
166,เฟรนช์ฟรายส์,100 g,ฟาสต์ฟู้ด,196.0,1.9,18.5,1.3,13.1,141.0,ไม่มีโรค,สมดุล
167,นักเก็ตไก่,100 g,ฟาสต์ฟู้ด,295.0,15.0,14.0,0.0,20.0,557.0,โรคเบาหวาน,น้ำตาลต่ำ
168,แซนด์วิชแฮมชีส,100 g,ฟาสต์ฟู้ด,241.0,14.2,22.8,0.0,10.6,528.0,ไม่มีโรค,สมดุล
169,ขนมปังกระเทียม,100 g,ฟาสต์ฟู้ด,380.0,8.0,45.0,2.0,20.0,630.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
170,พิซซ่า หน้าฮาวายเอี่ยน,100 g,ฟาสต์ฟู้ด,260.0,13.0,25.0,3.0,10.0,460.0,ไม่มีโรค,สมดุล
171,ขนมปังโฮลวีต,50 g,ขนม,130.0,6.0,23.0,2.0,2.5,0.5,โรคความดันโลหิตสูง,โซเดียมต่ำ
